Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
mid_right_chassis,-1.01904958862805,0.450918359101978,2.5500260202222,0,0,0,0.664323169148694,0.124497537684337,1.03440379130301E-07,3.29978112885733E-09,0.000272415804836353,1.06181136709898E-05,0.124497811349337,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_chassis.STL,,robot leg  with 2 same linear actuators 2-1/u frame channel 2-1,Coordinate System5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
mid_right_hinge_UU,-1.01905088535195,0.0593104196306042,2.52925907191912,0,0,0,0.0124075021216376,2.15475302244514E-05,4.08560226235981E-09,3.50399838359902E-11,2.48420344050463E-06,4.38826489428306E-07,2.39156461358389E-05,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_UU.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_UU.STL,,robot leg  with 2 same linear actuators 2-1/STRAP HINGE-2,Coordinate System5,Axis5 <robot leg  with 2 same linear actuators 2-1>,mid_right_hinge_UU_j,fixed,0,0,0,0,0,0,mid_right_chassis,0,0,0,,,,,,,,,,,,
mid_right_hinge_UL,-1.0188129526235,0.131925176611832,2.48445803928536,0,0,0,0.0149562464353173,2.77382899483782E-05,6.53537754436471E-08,-1.41295041733475E-07,2.61494553327382E-05,9.67138676781449E-06,6.47197939431066E-06,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_UL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_UL.STL,,robot leg  with 2 same linear actuators 2-1/STRAP HINGE right-2,Coordinate System5,Axis11 <robot leg  with 2 same linear actuators 2-1>,mid_right_hinge_UL_j,revolute,0,0,0,0,0,0,mid_right_hinge_UU,1,0,0,100,0.5,-0.5,0.5,,,,,,,,
mid_right_tube_U,-1.01905295856905,0.364582967396966,1.86626920283355,0,0,0,0.182771131041912,0.0288040348370685,1.02559621876794E-10,9.55764910249999E-10,0.025315686421915,0.00938951254741977,0.00352488886753978,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_tube_U.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_tube_U.STL,,robot leg  with 2 same linear actuators 2-1/carbon fiber leg 1400 mm upper-1,Coordinate System5,Axis3,mid_right_tube_U_j,fixed,0,0,0,0,0,0,mid_right_hinge_UL,0,0,0,,,,,,,,,,,,
mid_right_hinge_LU,-1.01905131096578,0.590645617295134,1.25148513763438,0,0,0,0.0124080543656936,2.15480311497022E-05,1.42460076220506E-09,-3.74261469196305E-09,2.16045137129991E-05,6.66316691649574E-06,4.79656411004929E-06,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_LU.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_LU.STL,,robot leg  with 2 same linear actuators 2-1/STRAP HINGE-3,Coordinate System5,Axis3,mid_right_hinge_LU_j,fixed,0,0,0,0,0,0,mid_right_tube_U,0,0,0,,,,,,,,,,,,
mid_right_hinge_LL,-1.01881238906514,0.583362371971656,1.16058737016415,0,0,0,0.0149300100783799,2.77317572144237E-05,-7.69471574354078E-08,-1.35726939401194E-07,2.22963751213896E-05,-1.24251025267636E-05,1.03187746917861E-05,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_LL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_hinge_LL.STL,,robot leg  with 2 same linear actuators 2-1/STRAP HINGE right-3,Coordinate System5,Axis3 <robot leg  with 2 same linear actuators 2-1>,mid_right_hinge_LL_j,revolute,0,0,0,0,0,0,mid_right_hinge_LU,-1,0,0,100,0.5,-0.5,0.5,,,,,,,,
mid_right_tube_L,-1.01905401462191,0.210107997709998,0.60238159804898,0,0,0,0.185067675197643,0.0297078291883953,1.92332160328527E-09,-3.37902681066349E-10,0.0204240923796497,-0.0137570481405995,0.00932114600736387,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_tube_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_tube_L.STL,,robot leg  with 2 same linear actuators 2-1/carbon fiber leg 1400 mm lower-1,Coordinate System5,Axis9,mid_right_tube_L_j,fixed,0,0,0,0,0,0,mid_right_hinge_LL,0,0,0,,,,,,,,,,,,
mid_right_base,-1.01905399999999,-0.182860047845495,0.0200524252681242,0,0,0,0.00526659250823883,1.57167590827313E-06,7.54737487274673E-23,1.11846537621423E-22,1.66436600945583E-06,1.37354397779592E-07,1.7752168511426E-06,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/mid_right_base.STL,,robot leg  with 2 same linear actuators 2-1/leg support-1,Coordinate System5,Axis12 <robot leg  with 2 same linear actuators 2-1>,mid_right_base_j,fixed,0,0,0,0,0,0,mid_right_tube_L,0,0,0,,,,,,,,,,,,
front_right_chassis,-1.01904958862805,-1.04908164089802,2.5500260202222,0,0,0,0.664323169148694,0.124497537684337,1.03440379130024E-07,3.29978112885837E-09,0.000272415804836353,1.06181136709899E-05,0.124497811349337,0,0,0,0,0,0,package://robo_assemblyone/meshes/front_right_chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/front_right_chassis.STL,,robot leg  with 2 same linear actuators-1/u frame channel 2-1,Coordinate System5,Axis5 <robot leg  with 2 same linear actuators-1>,front_right_chassis_j,fixed,0,0,0,0,0,0,mid_right_chassis,0,0,0,,,,,,,,,,,,
front_right_hinge_UU,3.2407,0.020741,-0.62865,0,0,0,0.012408,2.4842E-06,4.3883E-07,-4.0856E-09,2.3916E-05,-3.504E-11,2.1548E-05,0,0,0,0,0,0,package://robo_assemblyone/meshes/front_right_hinge_UU.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robo_assemblyone/meshes/front_right_hinge_UU.STL,,robot leg  with 2 same linear actuators-1/STRAP HINGE-2,Origin_rear_H_chassis_j,Axis5 <robot leg  with 2 same linear actuators-1>,front_right_hinge_UU_j,fixed,-0.3904,1.8,2.54999999999993,-1.5707963267949,0,-1.5707963267949,front_right_chassis,0,0,0,,,,,,,,,,,,
